,Inflow rate,Stenosis amplitude,Stenosis width
304,0.800000,0.242857,0.157143
305,0.800000,0.242857,0.171629
306,0.800000,0.242857,0.185714
307,0.800000,0.242857,0.200000
308,0.800000,0.242857,0.214286
309,0.800000,0.242857,0.228571
310,0.800000,0.242857,0.243057
311,0.800000,0.242857,0.257143
312,0.800000,0.242857,0.271629
313,0.800000,0.242857,0.285714
314,0.800000,0.242857,0.300000
315,0.800000,0.271429,0.100000
316,0.800000,0.271429,0.114286
317,0.800000,0.271429,0.128571
318,0.800000,0.271429,0.142857
319,0.800000,0.271429,0.157143
320,0.800000,0.271429,0.171629
321,0.800000,0.271429,0.185714
322,0.800000,0.271429,0.200000
323,0.800000,0.271429,0.214286
324,0.800000,0.271429,0.228571
325,0.800000,0.271429,0.243057
326,0.800000,0.271429,0.257143
327,0.800000,0.271429,0.271629
328,0.800000,0.271429,0.285714
329,0.800000,0.271429,0.300000
330,0.800000,0.300000,0.100000
331,0.800000,0.300000,0.114286
332,0.800000,0.300000,0.128571
333,0.800000,0.300000,0.142857
334,0.800000,0.300000,0.157143
335,0.800000,0.300000,0.171629
336,0.800000,0.300000,0.185714
337,0.800000,0.300000,0.200000
338,0.800000,0.300000,0.214286
339,0.800000,0.300000,0.228571
340,0.800000,0.300000,0.243057
341,0.800000,0.300000,0.257143
342,0.800000,0.300000,0.271629
343,0.800000,0.300000,0.285714
344,0.800000,0.300000,0.300000
345,0.800000,0.328571,0.100000
346,0.800000,0.328571,0.114286
347,0.800000,0.328571,0.128571
348,0.800000,0.328571,0.142857
349,0.800000,0.328571,0.157143
350,0.800000,0.328571,0.171629
351,0.800000,0.328571,0.185714
352,0.800000,0.328571,0.200000
353,0.800000,0.328571,0.214286
354,0.800000,0.328571,0.228571
355,0.800000,0.328571,0.243057
356,0.800000,0.328571,0.257143
357,0.800000,0.328571,0.271629
358,0.800000,0.328571,0.285714
359,0.800000,0.328571,0.300000
360,0.800000,0.357143,0.100000
361,0.800000,0.357143,0.114286
362,0.800000,0.357143,0.128571
363,0.800000,0.357143,0.142857
364,0.800000,0.357143,0.157143
365,0.800000,0.357143,0.171629
366,0.800000,0.357143,0.185714
367,0.800000,0.357143,0.200000
368,0.800000,0.357143,0.214286
369,0.800000,0.357143,0.228571
370,0.800000,0.357143,0.243057
371,0.800000,0.357143,0.257143
372,0.800000,0.357143,0.271629
373,0.800000,0.357143,0.285714
374,0.800000,0.357143,0.300000
375,0.800000,0.385714,0.100000
376,0.800000,0.385714,0.114286
377,0.800000,0.385714,0.128571
378,0.800000,0.385714,0.142857
379,0.800000,0.385714,0.157143
380,0.800000,0.385714,0.171629
381,0.800000,0.385714,0.185714
382,0.800000,0.385714,0.200000
383,0.800000,0.385714,0.214286
384,0.800000,0.385714,0.228571
385,0.800000,0.385714,0.243057
386,0.800000,0.385714,0.257143
387,0.800000,0.385714,0.271629
388,0.800000,0.385714,0.285714
389,0.800000,0.385714,0.300000
390,0.800000,0.414286,0.100000
391,0.800000,0.414286,0.114286
392,0.800000,0.414286,0.128571
393,0.800000,0.414286,0.142857
394,0.800000,0.414286,0.157143
395,0.800000,0.414286,0.171629
396,0.800000,0.414286,0.185714
397,0.800000,0.414286,0.200000
398,0.800000,0.414286,0.214286
399,0.800000,0.414286,0.228571
400,0.800000,0.414286,0.243057
401,0.800000,0.414286,0.257143
402,0.800000,0.414286,0.271629
403,0.800000,0.414286,0.285714
404,0.800000,0.414286,0.300000
405,0.800000,0.442857,0.100000
406,0.800000,0.442857,0.114286
407,0.800000,0.442857,0.128571
408,0.800000,0.442857,0.142857
409,0.800000,0.442857,0.157143
410,0.800000,0.442857,0.171629
411,0.800000,0.442857,0.185714
412,0.800000,0.442857,0.200000
413,0.800000,0.442857,0.214286
414,0.800000,0.442857,0.228571
415,0.800000,0.442857,0.243057
416,0.800000,0.442857,0.257143
417,0.800000,0.442857,0.271629
418,0.800000,0.442857,0.285714
419,0.800000,0.442857,0.300000
420,0.800000,0.471429,0.100000
421,0.800000,0.471429,0.114286
422,0.800000,0.471429,0.128571
423,0.800000,0.471429,0.142857
424,0.800000,0.471429,0.157143
425,0.800000,0.471429,0.171629
426,0.800000,0.471429,0.185714
427,0.800000,0.471429,0.200000
428,0.800000,0.471429,0.214286
429,0.800000,0.471429,0.228571
430,0.800000,0.471429,0.243057
431,0.800000,0.471429,0.257143
432,0.800000,0.471429,0.271629
433,0.800000,0.471429,0.285714
434,0.800000,0.471429,0.300000
435,0.800000,0.500000,0.100000
436,0.800000,0.500000,0.114286
437,0.800000,0.500000,0.128571
438,0.800000,0.500000,0.142857
439,0.800000,0.500000,0.157143
440,0.800000,0.500000,0.171629
441,0.800000,0.500000,0.185714
442,0.800000,0.500000,0.200000
443,0.800000,0.500000,0.214286
444,0.800000,0.500000,0.228571
445,0.800000,0.500000,0.243057
446,0.800000,0.500000,0.257143
447,0.800000,0.500000,0.271629
448,0.800000,0.500000,0.285714
449,0.800000,0.500000,0.300000
450,0.900000,0.100000,0.100000
451,0.900000,0.100000,0.114286
452,0.900000,0.100000,0.128571
453,0.900000,0.100000,0.142857
454,0.900000,0.100000,0.157143
455,0.900000,0.100000,0.171629
456,0.900000,0.100000,0.185714
457,0.900000,0.100000,0.200000
458,0.900000,0.100000,0.214286
459,0.900000,0.100000,0.228571
460,0.900000,0.100000,0.243057
461,0.900000,0.100000,0.257143
462,0.900000,0.100000,0.271629
463,0.900000,0.100000,0.285714
464,0.900000,0.100000,0.300000
465,0.900000,0.128571,0.100000
466,0.900000,0.128571,0.114286
467,0.900000,0.128571,0.128571
468,0.900000,0.128571,0.142857
469,0.900000,0.128571,0.157143
470,0.900000,0.128571,0.171629
471,0.900000,0.128571,0.185714
472,0.900000,0.128571,0.200000
473,0.900000,0.128571,0.214286
474,0.900000,0.128571,0.228571
475,0.900000,0.128571,0.243057
476,0.900000,0.128571,0.257143
477,0.900000,0.128571,0.271629
478,0.900000,0.128571,0.285714
479,0.900000,0.128571,0.300000
480,0.900000,0.157143,0.100000
481,0.900000,0.157143,0.114286
482,0.900000,0.157143,0.128571
483,0.900000,0.157143,0.142857
484,0.900000,0.157143,0.157143
485,0.900000,0.157143,0.171629
486,0.900000,0.157143,0.185714
487,0.900000,0.157143,0.200000
488,0.900000,0.157143,0.214286
489,0.900000,0.157143,0.228571
490,0.900000,0.157143,0.243057
491,0.900000,0.157143,0.257143
492,0.900000,0.157143,0.271629
493,0.900000,0.157143,0.285714
494,0.900000,0.157143,0.300000
495,0.900000,0.185714,0.100000
496,0.900000,0.185714,0.114286
497,0.900000,0.185714,0.128571
498,0.900000,0.185714,0.142857
499,0.900000,0.185714,0.157143
500,0.900000,0.185714,0.171629
501,0.900000,0.185714,0.185714
502,0.900000,0.185714,0.200000
503,0.900000,0.185714,0.214286
504,0.900000,0.185714,0.228571
505,0.900000,0.185714,0.243057
506,0.900000,0.185714,0.257143
507,0.900000,0.185714,0.271629
508,0.900000,0.185714,0.285714
509,0.900000,0.185714,0.300000
510,0.900000,0.214286,0.100000
511,0.900000,0.214286,0.114286
512,0.900000,0.214286,0.128571
513,0.900000,0.214286,0.142857
514,0.900000,0.214286,0.157143
515,0.900000,0.214286,0.171629
516,0.900000,0.214286,0.185714
517,0.900000,0.214286,0.200000
518,0.900000,0.214286,0.214286
519,0.900000,0.214286,0.228571
520,0.900000,0.214286,0.243057
521,0.900000,0.214286,0.257143
522,0.900000,0.214286,0.271629
523,0.900000,0.214286,0.285714
524,0.900000,0.214286,0.300000
525,0.900000,0.242857,0.100000
526,0.900000,0.242857,0.114286
527,0.900000,0.242857,0.128571
528,0.900000,0.242857,0.142857
529,0.900000,0.242857,0.157143
530,0.900000,0.242857,0.171629
531,0.900000,0.242857,0.185714
532,0.900000,0.242857,0.200000
533,0.900000,0.242857,0.214286
534,0.900000,0.242857,0.228571
535,0.900000,0.242857,0.243057
536,0.900000,0.242857,0.257143
537,0.900000,0.242857,0.271629
538,0.900000,0.242857,0.285714
539,0.900000,0.242857,0.300000
540,0.900000,0.271429,0.100000
541,0.900000,0.271429,0.114286
542,0.900000,0.271429,0.128571
543,0.900000,0.271429,0.142857
544,0.900000,0.271429,0.157143
545,0.900000,0.271429,0.171629
546,0.900000,0.271429,0.185714
547,0.900000,0.271429,0.200000
548,0.900000,0.271429,0.214286
549,0.900000,0.271429,0.228571
550,0.900000,0.271429,0.243057
551,0.900000,0.271429,0.257143
552,0.900000,0.271429,0.271629
553,0.900000,0.271429,0.285714
554,0.900000,0.271429,0.300000
555,0.900000,0.300000,0.100000
556,0.900000,0.300000,0.114286
557,0.900000,0.300000,0.128571
558,0.900000,0.300000,0.142857
559,0.900000,0.300000,0.157143
560,0.900000,0.300000,0.171629
561,0.900000,0.300000,0.185714
562,0.900000,0.300000,0.200000
563,0.900000,0.300000,0.214286
564,0.900000,0.300000,0.228571
565,0.900000,0.300000,0.243057
566,0.900000,0.300000,0.257143
567,0.900000,0.300000,0.271629
568,0.900000,0.300000,0.285714
569,0.900000,0.300000,0.300000
570,0.900000,0.328571,0.100000
571,0.900000,0.328571,0.114286
572,0.900000,0.328571,0.128571
573,0.900000,0.328571,0.142857
574,0.900000,0.328571,0.157143
575,0.900000,0.328571,0.171629
576,0.900000,0.328571,0.185714
577,0.900000,0.328571,0.200000
578,0.900000,0.328571,0.214286
579,0.900000,0.328571,0.228571
580,0.900000,0.328571,0.243057
581,0.900000,0.328571,0.257143
582,0.900000,0.328571,0.271629
583,0.900000,0.328571,0.285714
584,0.900000,0.328571,0.300000
585,0.900000,0.357143,0.100000
586,0.900000,0.357143,0.114286
587,0.900000,0.357143,0.128571
588,0.900000,0.357143,0.142857
589,0.900000,0.357143,0.157143
590,0.900000,0.357143,0.171629
591,0.900000,0.357143,0.185714
592,0.900000,0.357143,0.200000
593,0.900000,0.357143,0.214286
594,0.900000,0.357143,0.228571
595,0.900000,0.357143,0.243057
596,0.900000,0.357143,0.257143
597,0.900000,0.357143,0.271629
598,0.900000,0.357143,0.285714
599,0.900000,0.357143,0.300000
600,0.900000,0.385714,0.100000
601,0.900000,0.385714,0.114286
602,0.900000,0.385714,0.128571
603,0.900000,0.385714,0.142857
604,0.900000,0.385714,0.157143
605,0.900000,0.385714,0.171629
606,0.900000,0.385714,0.185714
607,0.900000,0.385714,0.200000
608,0.900000,0.385714,0.214286
609,0.900000,0.385714,0.228571
610,0.900000,0.385714,0.243057
611,0.900000,0.385714,0.257143
612,0.900000,0.385714,0.271629
613,0.900000,0.385714,0.285714
614,0.900000,0.385714,0.300000
615,0.900000,0.414286,0.100000
616,0.900000,0.414286,0.114286
617,0.900000,0.414286,0.128571
618,0.900000,0.414286,0.142857
619,0.900000,0.414286,0.157143
620,0.900000,0.414286,0.171629
621,0.900000,0.414286,0.185714
622,0.900000,0.414286,0.200000
623,0.900000,0.414286,0.214286
624,0.900000,0.414286,0.228571
625,0.900000,0.414286,0.243057
626,0.900000,0.414286,0.257143
627,0.900000,0.414286,0.271629
628,0.900000,0.414286,0.285714
629,0.900000,0.414286,0.300000
630,0.900000,0.442857,0.100000
631,0.900000,0.442857,0.114286
632,0.900000,0.442857,0.128571
633,0.900000,0.442857,0.142857
634,0.900000,0.442857,0.157143
635,0.900000,0.442857,0.171629
636,0.900000,0.442857,0.185714
637,0.900000,0.442857,0.200000
638,0.900000,0.442857,0.214286
639,0.900000,0.442857,0.228571
640,0.900000,0.442857,0.243057
641,0.900000,0.442857,0.257143
642,0.900000,0.442857,0.271629
643,0.900000,0.442857,0.285714
644,0.900000,0.442857,0.300000
645,0.900000,0.471429,0.100000
646,0.900000,0.471429,0.114286
647,0.900000,0.471429,0.128571
648,0.900000,0.471429,0.142857
649,0.900000,0.471429,0.157143
650,0.900000,0.471429,0.171629
651,0.900000,0.471429,0.185714
652,0.900000,0.471429,0.200000
653,0.900000,0.471429,0.214286
654,0.900000,0.471429,0.228571
655,0.900000,0.471429,0.243057
656,0.900000,0.471429,0.257143
657,0.900000,0.471429,0.271629
658,0.900000,0.471429,0.285714
659,0.900000,0.471429,0.300000
660,0.900000,0.500000,0.100000
661,0.900000,0.500000,0.114286
662,0.900000,0.500000,0.128571
663,0.900000,0.500000,0.142857
664,0.900000,0.500000,0.157143
665,0.900000,0.500000,0.171629
666,0.900000,0.500000,0.185714
667,0.900000,0.500000,0.200000
668,0.900000,0.500000,0.214286
669,0.900000,0.500000,0.228571
670,0.900000,0.500000,0.243057
671,0.900000,0.500000,0.257143
672,0.900000,0.500000,0.271629
673,0.900000,0.500000,0.285714
674,0.900000,0.500000,0.300000
675,1.000000,0.100000,0.100000
676,1.000000,0.100000,0.114286
677,1.000000,0.100000,0.128571
678,1.000000,0.100000,0.142857
679,1.000000,0.100000,0.157143
680,1.000000,0.100000,0.171629
681,1.000000,0.100000,0.185714
682,1.000000,0.100000,0.200000
683,1.000000,0.100000,0.214286
684,1.000000,0.100000,0.228571
685,1.000000,0.100000,0.243057
686,1.000000,0.100000,0.257143
687,1.000000,0.100000,0.271629
688,1.000000,0.100000,0.285714
689,1.000000,0.100000,0.300000
690,1.000000,0.128571,0.100000
691,1.000000,0.128571,0.114286
692,1.000000,0.128571,0.128571
693,1.000000,0.128571,0.142857
694,1.000000,0.128571,0.157143
695,1.000000,0.128571,0.171629
696,1.000000,0.128571,0.185714
697,1.000000,0.128571,0.200000
698,1.000000,0.128571,0.214286
699,1.000000,0.128571,0.228571
700,1.000000,0.128571,0.243057
701,1.000000,0.128571,0.257143
702,1.000000,0.128571,0.271629
703,1.000000,0.128571,0.285714
704,1.000000,0.128571,0.300000
705,1.000000,0.157143,0.100000
706,1.000000,0.157143,0.114286
707,1.000000,0.157143,0.128571
708,1.000000,0.157143,0.142857
709,1.000000,0.157143,0.157143
710,1.000000,0.157143,0.171629
711,1.000000,0.157143,0.185714
712,1.000000,0.157143,0.200000
713,1.000000,0.157143,0.214286
714,1.000000,0.157143,0.228571
715,1.000000,0.157143,0.243057
716,1.000000,0.157143,0.257143
717,1.000000,0.157143,0.271629
718,1.000000,0.157143,0.285714
719,1.000000,0.157143,0.300000
720,1.000000,0.185714,0.100000
721,1.000000,0.185714,0.114286
722,1.000000,0.185714,0.128571
723,1.000000,0.185714,0.142857
724,1.000000,0.185714,0.157143
725,1.000000,0.185714,0.171629
726,1.000000,0.185714,0.185714
727,1.000000,0.185714,0.200000
728,1.000000,0.185714,0.214286
729,1.000000,0.185714,0.228571
730,1.000000,0.185714,0.243057
731,1.000000,0.185714,0.257143
732,1.000000,0.185714,0.271629
733,1.000000,0.185714,0.285714
734,1.000000,0.185714,0.300000
735,1.000000,0.214286,0.100000
736,1.000000,0.214286,0.114286
737,1.000000,0.214286,0.128571
738,1.000000,0.214286,0.142857
739,1.000000,0.214286,0.157143
740,1.000000,0.214286,0.171629
741,1.000000,0.214286,0.185714
742,1.000000,0.214286,0.200000
743,1.000000,0.214286,0.214286
744,1.000000,0.214286,0.228571
745,1.000000,0.214286,0.243057
746,1.000000,0.214286,0.257143
747,1.000000,0.214286,0.271629
748,1.000000,0.214286,0.285714
749,1.000000,0.214286,0.300000
750,1.000000,0.242857,0.100000
751,1.000000,0.242857,0.114286
752,1.000000,0.242857,0.128571
753,1.000000,0.242857,0.142857
754,1.000000,0.242857,0.157143
755,1.000000,0.242857,0.171629
756,1.000000,0.242857,0.185714
757,1.000000,0.242857,0.200000
758,1.000000,0.242857,0.214286
759,1.000000,0.242857,0.228571
760,1.000000,0.242857,0.243057
761,1.000000,0.242857,0.257143
762,1.000000,0.242857,0.271629
763,1.000000,0.242857,0.285714
764,1.000000,0.242857,0.300000
765,1.000000,0.271429,0.100000
766,1.000000,0.271429,0.114286
767,1.000000,0.271429,0.128571
768,1.000000,0.271429,0.142857
769,1.000000,0.271429,0.157143
770,1.000000,0.271429,0.171629
771,1.000000,0.271429,0.185714
772,1.000000,0.271429,0.200000
773,1.000000,0.271429,0.214286
774,1.000000,0.271429,0.228571
775,1.000000,0.271429,0.243057
776,1.000000,0.271429,0.257143
777,1.000000,0.271429,0.271629
778,1.000000,0.271429,0.285714
779,1.000000,0.271429,0.300000
780,1.000000,0.300000,0.100000
781,1.000000,0.300000,0.114286
782,1.000000,0.300000,0.128571
783,1.000000,0.300000,0.142857
784,1.000000,0.300000,0.157143
785,1.000000,0.300000,0.171629
786,1.000000,0.300000,0.185714
787,1.000000,0.300000,0.200000
788,1.000000,0.300000,0.214286
789,1.000000,0.300000,0.228571
790,1.000000,0.300000,0.243057
791,1.000000,0.300000,0.257143
792,1.000000,0.300000,0.271629
793,1.000000,0.300000,0.285714
794,1.000000,0.300000,0.300000
795,1.000000,0.328571,0.100000
796,1.000000,0.328571,0.114286
797,1.000000,0.328571,0.128571
798,1.000000,0.328571,0.142857
799,1.000000,0.328571,0.157143
800,1.000000,0.328571,0.171629
801,1.000000,0.328571,0.185714
802,1.000000,0.328571,0.200000
803,1.000000,0.328571,0.214286
804,1.000000,0.328571,0.228571
805,1.000000,0.328571,0.243057
806,1.000000,0.328571,0.257143
807,1.000000,0.328571,0.271629
808,1.000000,0.328571,0.285714
809,1.000000,0.328571,0.300000
810,1.000000,0.357143,0.100000
811,1.000000,0.357143,0.114286
812,1.000000,0.357143,0.128571
813,1.000000,0.357143,0.142857
814,1.000000,0.357143,0.157143
815,1.000000,0.357143,0.171629
816,1.000000,0.357143,0.185714
